"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2021 Spring Primary","03101","VILLAGE OF ALMENA - BARRON COUNTY","9","8","0","0"
"2021 Spring Primary","03111","VILLAGE OF CAMERON - BARRON COUNTY","20","20","8","0"
"2021 Spring Primary","03116","VILLAGE OF DALLAS - BARRON COUNTY","1","1","1","0"
"2021 Spring Primary","03136","VILLAGE OF HAUGEN - BARRON COUNTY","7","7","4","0"
"2021 Spring Primary","03186","VILLAGE OF TURTLE LAKE - MULTIPLE COUNTIES","15","14","0","0"
"2021 Spring Primary","03206","CITY OF BARRON - BARRON COUNTY","161","161","44","1"
"2021 Spring Primary","03211","CITY OF CHETEK - BARRON COUNTY","73","73","27","0"
"2021 Spring Primary","03212","CITY OF CUMBERLAND - BARRON COUNTY","141","139","42","2"
"2021 Spring Primary","03276","CITY OF RICE LAKE - BARRON COUNTY","373","373","127","6"
"2021 Spring Primary","04002","TOWN OF BARKSDALE - BAYFIELD COUNTY","33","33","15","0"
"2021 Spring Primary","04004","TOWN OF BARNES - BAYFIELD COUNTY","47","47","24","0"
"2021 Spring Primary","04006","TOWN OF BAYFIELD - BAYFIELD COUNTY","63","62","34","1"
"2021 Spring Primary","04008","TOWN OF BAYVIEW - BAYFIELD COUNTY","17","17","13","0"
"2021 Spring Primary","04010","TOWN OF BELL - BAYFIELD COUNTY","25","25","12","0"
"2021 Spring Primary","04012","TOWN OF CABLE - BAYFIELD COUNTY","63","63","17","0"
"2021 Spring Primary","04014","TOWN OF CLOVER - BAYFIELD COUNTY","19","19","6","1"
"2021 Spring Primary","04016","TOWN OF DELTA - BAYFIELD COUNTY","23","23","17","0"
"2021 Spring Primary","04018","TOWN OF DRUMMOND - BAYFIELD COUNTY","28","27","8","0"
"2021 Spring Primary","04020","TOWN OF EILEEN - BAYFIELD COUNTY","21","19","6","0"
"2021 Spring Primary","04021","TOWN OF GRAND VIEW - BAYFIELD COUNTY","23","23","13","0"
"2021 Spring Primary","04022","TOWN OF HUGHES - BAYFIELD COUNTY","24","24","7","1"
"2021 Spring Primary","04024","TOWN OF IRON RIVER - BAYFIELD COUNTY","56","55","7","0"
"2021 Spring Primary","04026","TOWN OF KELLY - BAYFIELD COUNTY","16","16","3","0"
"2021 Spring Primary","04028","TOWN OF KEYSTONE - BAYFIELD COUNTY","13","6","6","0"
"2021 Spring Primary","04030","TOWN OF LINCOLN - BAYFIELD COUNTY","38","38","24","0"
"2021 Spring Primary","04032","TOWN OF MASON - BAYFIELD COUNTY","9","9","2","0"
"2021 Spring Primary","04034","TOWN OF NAMAKAGON - BAYFIELD COUNTY","18","18","11","2"
"2021 Spring Primary","04036","TOWN OF ORIENTA - BAYFIELD COUNTY","5","5","1","0"
"2021 Spring Primary","04038","TOWN OF OULU - BAYFIELD COUNTY","22","22","12","0"
"2021 Spring Primary","04042","TOWN OF PORT WING - BAYFIELD COUNTY","26","22","7","0"
"2021 Spring Primary","04046","TOWN OF RUSSELL - BAYFIELD COUNTY","67","67","18","0"
"2021 Spring Primary","04048","TOWN OF TRIPP - BAYFIELD COUNTY","1","0","0",""
"2021 Spring Primary","04050","TOWN OF WASHBURN - BAYFIELD COUNTY","40","40","24","0"
"2021 Spring Primary","04151","VILLAGE OF MASON - BAYFIELD COUNTY","7","7","4","0"
"2021 Spring Primary","04206","CITY OF BAYFIELD - BAYFIELD COUNTY","40","40","20","1"
"2021 Spring Primary","04291","CITY OF WASHBURN - BAYFIELD COUNTY","171","169","61","2"
"2021 Spring Primary","05010","TOWN OF EATON - BROWN COUNTY","48","43","24","0"
"2021 Spring Primary","05012","TOWN OF GLENMORE - BROWN COUNTY","41","41","11","0"
"2021 Spring Primary","05014","TOWN OF GREEN BAY - BROWN COUNTY","94","58","13","0"
"2021 Spring Primary","05018","TOWN OF HOLLAND - BROWN COUNTY","66","59","24","0"
"2021 Spring Primary","05022","TOWN OF HUMBOLDT - BROWN COUNTY","32","32","16","2"
"2021 Spring Primary","05024","TOWN OF LAWRENCE - BROWN COUNTY","363","363","177","51"
"2021 Spring Primary","05025","TOWN OF LEDGEVIEW - BROWN COUNTY","635","634","309","45"
"2021 Spring Primary","05026","TOWN OF MORRISON - BROWN COUNTY","51","43","18","0"
"2021 Spring Primary","05028","TOWN OF NEW DENMARK - BROWN COUNTY","41","41","18","0"
"2021 Spring Primary","05030","TOWN OF PITTSFIELD - BROWN COUNTY","174","166","79","0"
"2021 Spring Primary","05034","TOWN OF ROCKLAND - BROWN COUNTY","38","38","16","3"
"2021 Spring Primary","05036","TOWN OF SCOTT - BROWN COUNTY","191","191","99","11"
"2021 Spring Primary","05040","TOWN OF WRIGHTSTOWN - BROWN COUNTY","86","86","35","0"
"2021 Spring Primary","05102","VILLAGE OF ALLOUEZ - BROWN COUNTY","999","999","484","65"
"2021 Spring Primary","05104","VILLAGE OF ASHWAUBENON - BROWN COUNTY","976","975","378","40"
"2021 Spring Primary","05106","VILLAGE OF BELLEVUE - BROWN COUNTY","944","943","411","30"
"2021 Spring Primary","05116","VILLAGE OF DENMARK - BROWN COUNTY","93","93","37","1"
"2021 Spring Primary","05126","VILLAGE OF HOBART - BROWN COUNTY","625","625","245","28"
"2021 Spring Primary","05136","VILLAGE OF HOWARD - MULTIPLE COUNTIES","1250","1248","678","36"
"2021 Spring Primary","05171","VILLAGE OF PULASKI - MULTIPLE COUNTIES","199","195","84","4"
"2021 Spring Primary","05178","VILLAGE OF SUAMICO - BROWN COUNTY","790","789","412","103"
"2021 Spring Primary","05191","VILLAGE OF WRIGHTSTOWN - MULTIPLE COUNTIES","71","71","26","2"
"2021 Spring Primary","05216","CITY OF DE PERE - BROWN COUNTY","1696","1695","907","96"
"2021 Spring Primary","05231","CITY OF GREEN BAY - BROWN COUNTY","7798","7792","3038","102"
"2021 Spring Primary","06002","TOWN OF ALMA - BUFFALO COUNTY","12","12","9","0"
"2021 Spring Primary","06004","TOWN OF BELVIDERE - BUFFALO COUNTY","6","6","4","0"
"2021 Spring Primary","06006","TOWN OF BUFFALO - BUFFALO COUNTY","9","9","0","0"
"2021 Spring Primary","06008","TOWN OF CANTON - BUFFALO COUNTY","2","0","0",""
"2021 Spring Primary","06010","TOWN OF CROSS - BUFFALO COUNTY","10","10","3","0"
"2021 Spring Primary","06014","TOWN OF GILMANTON - BUFFALO COUNTY","11","0","0",""
"2021 Spring Primary","06016","TOWN OF GLENCOE - BUFFALO COUNTY","2","2","2","0"
"2021 Spring Primary","06018","TOWN OF LINCOLN - BUFFALO COUNTY","6","6","0","0"
"2021 Spring Primary","06020","TOWN OF MAXVILLE - BUFFALO COUNTY","18","17","10","0"
"2021 Spring Primary","06022","TOWN OF MILTON - BUFFALO COUNTY","5","5","1","0"
"2021 Spring Primary","06026","TOWN OF MONDOVI - BUFFALO COUNTY","7","7","4","0"
"2021 Spring Primary","06030","TOWN OF NAPLES - BUFFALO COUNTY","9","9","3","0"
"2021 Spring Primary","06032","TOWN OF NELSON - BUFFALO COUNTY","10","10","1","0"
"2021 Spring Primary","06034","TOWN OF WAUMANDEE - BUFFALO COUNTY","10","10","5","0"
"2021 Spring Primary","06111","VILLAGE OF COCHRANE - BUFFALO COUNTY","11","11","4","0"
"2021 Spring Primary","06154","VILLAGE OF NELSON - BUFFALO COUNTY","1","0","0",""
"2021 Spring Primary","06201","CITY OF ALMA - BUFFALO COUNTY","34","24","10","0"
"2021 Spring Primary","06206","CITY OF BUFFALO CITY - BUFFALO COUNTY","19","14","6","0"
"2021 Spring Primary","06226","CITY OF FOUNTAIN CITY - BUFFALO COUNTY","27","27","0","0"
"2021 Spring Primary","06251","CITY OF MONDOVI - BUFFALO COUNTY","84","82","24","1"
"2021 Spring Primary","07002","TOWN OF ANDERSON - BURNETT COUNTY","9","9","0","0"
"2021 Spring Primary","07004","TOWN OF BLAINE - BURNETT COUNTY","4","0","0",""
"2021 Spring Primary","07006","TOWN OF DANIELS - BURNETT COUNTY","25","25","0","0"
"2021 Spring Primary","07008","TOWN OF DEWEY - BURNETT COUNTY","9","9","2","0"
"2021 Spring Primary","07010","TOWN OF GRANTSBURG - BURNETT COUNTY","33","33","10","0"
"2021 Spring Primary","07012","TOWN OF JACKSON - BURNETT COUNTY","45","19","1","0"
"2021 Spring Primary","07014","TOWN OF LA FOLLETTE - BURNETT COUNTY","18","0","0",""
"2021 Spring Primary","07016","TOWN OF LINCOLN - BURNETT COUNTY","14","0","0",""
"2021 Spring Primary","07018","TOWN OF MEENON - BURNETT COUNTY","37","28","9","0"
"2021 Spring Primary","07020","TOWN OF OAKLAND - BURNETT COUNTY","50","43","11","0"
"2021 Spring Primary","07024","TOWN OF RUSK - BURNETT COUNTY","9","0","0",""
"2021 Spring Primary","07026","TOWN OF SAND LAKE - BURNETT COUNTY","24","24","10","0"
"2021 Spring Primary","07028","TOWN OF SCOTT - BURNETT COUNTY","19","19","1","0"
"2021 Spring Primary","07030","TOWN OF SIREN - BURNETT COUNTY","51","49","21","0"
"2021 Spring Primary","07032","TOWN OF SWISS - BURNETT COUNTY","40","40","22","0"
"2021 Spring Primary","07034","TOWN OF TRADE LAKE - BURNETT COUNTY","25","25","10","0"
"2021 Spring Primary","07036","TOWN OF UNION - BURNETT COUNTY","17","0","0",""
"2021 Spring Primary","07038","TOWN OF WEBB LAKE - BURNETT COUNTY","14","14","7","0"
"2021 Spring Primary","07040","TOWN OF WEST MARSHLAND - BURNETT COUNTY","10","5","2","0"
"2021 Spring Primary","07042","TOWN OF WOOD RIVER - BURNETT COUNTY","27","27","11","0"
"2021 Spring Primary","07131","VILLAGE OF GRANTSBURG - BURNETT COUNTY","66","65","43","5"
"2021 Spring Primary","07181","VILLAGE OF SIREN - BURNETT COUNTY","30","30","11","0"
"2021 Spring Primary","07191","VILLAGE OF WEBSTER - BURNETT COUNTY","31","31","7","0"
"2021 Spring Primary","08002","TOWN OF BRILLION - CALUMET COUNTY","45","45","22","0"
"2021 Spring Primary","08004","TOWN OF BROTHERTOWN - CALUMET COUNTY","34","34","19","0"
"2021 Spring Primary","08006","TOWN OF CHARLESTOWN - CALUMET COUNTY","18","16","8","2"
"2021 Spring Primary","08008","TOWN OF CHILTON - CALUMET COUNTY","25","25","8","2"
"2021 Spring Primary","08012","TOWN OF NEW HOLSTEIN - CALUMET COUNTY","51","51","26","0"
"2021 Spring Primary","08014","TOWN OF RANTOUL - CALUMET COUNTY","14","14","7","1"
"2021 Spring Primary","08016","TOWN OF STOCKBRIDGE - CALUMET COUNTY","59","59","27","0"
"2021 Spring Primary","08018","TOWN OF WOODVILLE - CALUMET COUNTY","15","15","5","0"
"2021 Spring Primary","08131","VILLAGE OF HARRISON - MULTIPLE COUNTIES","527","526","193","27"
"2021 Spring Primary","08136","VILLAGE OF HILBERT - CALUMET COUNTY","25","25","6","0"
"2021 Spring Primary","08160","VILLAGE OF POTTER - CALUMET COUNTY","8","0","0",""
"2021 Spring Primary","08179","VILLAGE OF SHERWOOD - CALUMET COUNTY","117","117","28","0"
"2021 Spring Primary","08181","VILLAGE OF STOCKBRIDGE - CALUMET COUNTY","34","34","10","0"
"2021 Spring Primary","08206","CITY OF BRILLION - CALUMET COUNTY","98","98","48","12"
"2021 Spring Primary","08211","CITY OF CHILTON - CALUMET COUNTY","139","139","50","0"
"2021 Spring Primary","08261","CITY OF NEW HOLSTEIN - CALUMET COUNTY","203","203","77","4"
"2021 Spring Primary","09002","TOWN OF ANSON - CHIPPEWA COUNTY","81","81","25","0"
"2021 Spring Primary","09004","TOWN OF ARTHUR - CHIPPEWA COUNTY","6","6","2","0"
"2021 Spring Primary","09006","TOWN OF AUBURN - CHIPPEWA COUNTY","14","14","0","0"
"2021 Spring Primary","09008","TOWN OF BIRCH CREEK - CHIPPEWA COUNTY","28","28","18","1"
"2021 Spring Primary","09010","TOWN OF BLOOMER - CHIPPEWA COUNTY","14","14","6","0"
"2021 Spring Primary","09012","TOWN OF CLEVELAND - CHIPPEWA COUNTY","16","16","1","0"
"2021 Spring Primary","09014","TOWN OF COLBURN - CHIPPEWA COUNTY","25","25","0","0"
"2021 Spring Primary","09016","TOWN OF COOKS VALLEY - CHIPPEWA COUNTY","10","8","0","0"
"2021 Spring Primary","09018","TOWN OF DELMAR - CHIPPEWA COUNTY","26","22","6","0"
"2021 Spring Primary","09020","TOWN OF EAGLE POINT - CHIPPEWA COUNTY","187","187","66","2"
"2021 Spring Primary","09022","TOWN OF EDSON - CHIPPEWA COUNTY","19","16","2","0"
"2021 Spring Primary","09024","TOWN OF ESTELLA - CHIPPEWA COUNTY","9","9","4","0"
"2021 Spring Primary","09026","TOWN OF GOETZ - CHIPPEWA COUNTY","19","19","6","4"
"2021 Spring Primary","09028","TOWN OF HALLIE - CHIPPEWA COUNTY","10","10","4","0"
"2021 Spring Primary","09032","TOWN OF HOWARD - CHIPPEWA COUNTY","17","17","7","1"
"2021 Spring Primary","09034","TOWN OF LAFAYETTE - CHIPPEWA COUNTY","218","218","73","11"
"2021 Spring Primary","09035","TOWN OF LAKE HOLCOMBE - CHIPPEWA COUNTY","41","41","27","2"
"2021 Spring Primary","09036","TOWN OF RUBY - CHIPPEWA COUNTY","6","6","1","0"
"2021 Spring Primary","09038","TOWN OF SAMPSON - CHIPPEWA COUNTY","40","37","21","0"
"2021 Spring Primary","09040","TOWN OF SIGEL - CHIPPEWA COUNTY","16","16","7","0"
"2021 Spring Primary","09042","TOWN OF TILDEN - CHIPPEWA COUNTY","50","50","18","0"
"2021 Spring Primary","09044","TOWN OF WHEATON - CHIPPEWA COUNTY","136","134","62","2"
"2021 Spring Primary","09046","TOWN OF WOODMOHR - CHIPPEWA COUNTY","22","22","2","0"
"2021 Spring Primary","09106","VILLAGE OF BOYD - CHIPPEWA COUNTY","8","8","6","2"
"2021 Spring Primary","09111","VILLAGE OF CADOTT - CHIPPEWA COUNTY","37","36","18","4"
"2021 Spring Primary","09128","VILLAGE OF LAKE HALLIE - CHIPPEWA COUNTY","228","218","79","7"
"2021 Spring Primary","09161","VILLAGE OF NEW AUBURN - MULTIPLE COUNTIES","6","6","2","0"
"2021 Spring Primary","09206","CITY OF BLOOMER - CHIPPEWA COUNTY","207","206","72","1"
"2021 Spring Primary","09211","CITY OF CHIPPEWA FALLS - CHIPPEWA COUNTY","704","704","273","5"
"2021 Spring Primary","09213","CITY OF CORNELL - CHIPPEWA COUNTY","48","43","11","3"
"2021 Spring Primary","09281","CITY OF STANLEY - MULTIPLE COUNTIES","50","50","14","4"
"2021 Spring Primary","10002","TOWN OF BEAVER - CLARK COUNTY","15","14","9","0"
"2021 Spring Primary","10004","TOWN OF BUTLER - CLARK COUNTY","4","4","0","0"
"2021 Spring Primary","10006","TOWN OF COLBY - CLARK COUNTY","16","13","3","0"
"2021 Spring Primary","10008","TOWN OF DEWHURST - CLARK COUNTY","13","7","2","0"
"2021 Spring Primary","10010","TOWN OF EATON - CLARK COUNTY","13","0","0",""
"2021 Spring Primary","10014","TOWN OF FREMONT - CLARK COUNTY","8","8","4","0"
"2021 Spring Primary","10016","TOWN OF GRANT - CLARK COUNTY","13","3","0","0"
"2021 Spring Primary","10018","TOWN OF GREEN GROVE - CLARK COUNTY","16","13","0","0"
"2021 Spring Primary","10020","TOWN OF HENDREN - CLARK COUNTY","4","0","0",""
"2021 Spring Primary","10022","TOWN OF HEWETT - CLARK COUNTY","9","0","0",""
"2021 Spring Primary","10024","TOWN OF HIXON - CLARK COUNTY","2","0","0",""
"2021 Spring Primary","10026","TOWN OF HOARD - CLARK COUNTY","13","9","2","0"
"2021 Spring Primary","10028","TOWN OF LEVIS - CLARK COUNTY","6","4","0","0"
"2021 Spring Primary","10030","TOWN OF LONGWOOD - CLARK COUNTY","3","1","0","0"
"2021 Spring Primary","10032","TOWN OF LOYAL - CLARK COUNTY","10","10","0","0"
"2021 Spring Primary","10034","TOWN OF LYNN - CLARK COUNTY","12","0","0",""
"2021 Spring Primary","10036","TOWN OF MAYVILLE - CLARK COUNTY","5","0","0",""
"2021 Spring Primary","10038","TOWN OF MEAD - CLARK COUNTY","3","2","0","0"
"2021 Spring Primary","10040","TOWN OF MENTOR - CLARK COUNTY","13","0","0",""
"2021 Spring Primary","10042","TOWN OF PINE VALLEY - CLARK COUNTY","30","23","19","0"
"2021 Spring Primary","10044","TOWN OF RESEBURG - CLARK COUNTY","5","4","0","0"
"2021 Spring Primary","10046","TOWN OF SEIF - CLARK COUNTY","6","6","0","0"
"2021 Spring Primary","10048","TOWN OF SHERMAN - CLARK COUNTY","25","23","11","0"
"2021 Spring Primary","10050","TOWN OF SHERWOOD - CLARK COUNTY","1","0","0",""
"2021 Spring Primary","10052","TOWN OF THORP - CLARK COUNTY","30","13","7","0"
"2021 Spring Primary","10054","TOWN OF UNITY - CLARK COUNTY","5","4","0","0"
"2021 Spring Primary","10056","TOWN OF WARNER - CLARK COUNTY","5","4","3","1"
"2021 Spring Primary","10058","TOWN OF WASHBURN - CLARK COUNTY","20","14","8","0"
"2021 Spring Primary","10060","TOWN OF WESTON - CLARK COUNTY","16","14","7","3"
"2021 Spring Primary","10062","TOWN OF WITHEE - CLARK COUNTY","19","12","2","0"
"2021 Spring Primary","10064","TOWN OF WORDEN - CLARK COUNTY","4","3","2","0"
"2021 Spring Primary","10066","TOWN OF YORK - CLARK COUNTY","23","21","14","1"
"2021 Spring Primary","10116","VILLAGE OF DORCHESTER - MULTIPLE COUNTIES","17","16","4","0"
"2021 Spring Primary","10131","VILLAGE OF GRANTON - CLARK COUNTY","5","0","0",""
"2021 Spring Primary","10191","VILLAGE OF WITHEE - CLARK COUNTY","5","5","3","0"
"2021 Spring Primary","10201","CITY OF ABBOTSFORD - MULTIPLE COUNTIES","43","37","11","0"
"2021 Spring Primary","10211","CITY OF COLBY - MULTIPLE COUNTIES","80","46","14","0"
"2021 Spring Primary","10231","CITY OF GREENWOOD - CLARK COUNTY","25","21","17","0"
"2021 Spring Primary","10246","CITY OF LOYAL - CLARK COUNTY","13","13","1","0"
"2021 Spring Primary","10261","CITY OF NEILLSVILLE - CLARK COUNTY","156","156","121","2"
"2021 Spring Primary","10265","CITY OF OWEN - CLARK COUNTY","16","16","14","3"
"2021 Spring Primary","10286","CITY OF THORP - CLARK COUNTY","36","36","16","0"
"2021 Spring Primary","11002","TOWN OF ARLINGTON - COLUMBIA COUNTY","42","41","12","0"
"2021 Spring Primary","11004","TOWN OF CALEDONIA - COLUMBIA COUNTY","117","116","44","1"
"2021 Spring Primary","11006","TOWN OF COLUMBUS - COLUMBIA COUNTY","16","16","3","0"
"2021 Spring Primary","11008","TOWN OF COURTLAND - COLUMBIA COUNTY","20","20","10","0"
"2021 Spring Primary","11010","TOWN OF DEKORRA - COLUMBIA COUNTY","155","154","44","2"
"2021 Spring Primary","11012","TOWN OF FORT WINNEBAGO - COLUMBIA COUNTY","32","32","9","0"
"2021 Spring Primary","11014","TOWN OF FOUNTAIN PRAIRIE - COLUMBIA COUNTY","19","12","3","0"
"2021 Spring Primary","11016","TOWN OF HAMPDEN - COLUMBIA COUNTY","23","17","5","0"
"2021 Spring Primary","11018","TOWN OF LEEDS - COLUMBIA COUNTY","28","25","5","0"
"2021 Spring Primary","11020","TOWN OF LEWISTON - COLUMBIA COUNTY","52","51","13","0"
"2021 Spring Primary","11022","TOWN OF LODI - COLUMBIA COUNTY","201","199","57","0"
"2021 Spring Primary","11024","TOWN OF LOWVILLE - COLUMBIA COUNTY","43","43","15","0"
"2021 Spring Primary","11026","TOWN OF MARCELLON - COLUMBIA COUNTY","29","29","11","0"
"2021 Spring Primary","11028","TOWN OF NEWPORT - COLUMBIA COUNTY","26","26","13","0"
"2021 Spring Primary","11030","TOWN OF OTSEGO - COLUMBIA COUNTY","22","22","14","0"
"2021 Spring Primary","11032","TOWN OF PACIFIC - COLUMBIA COUNTY","148","148","63","4"
"2021 Spring Primary","11034","TOWN OF RANDOLPH - COLUMBIA COUNTY","15","15","3","0"
"2021 Spring Primary","11036","TOWN OF SCOTT - COLUMBIA COUNTY","21","21","6","0"
"2021 Spring Primary","11038","TOWN OF SPRINGVALE - COLUMBIA COUNTY","11","11","7","2"
"2021 Spring Primary","11040","TOWN OF WEST POINT - COLUMBIA COUNTY","68","68","27","6"
"2021 Spring Primary","11042","TOWN OF WYOCENA - COLUMBIA COUNTY","71","70","26","0"
"2021 Spring Primary","11101","VILLAGE OF ARLINGTON - COLUMBIA COUNTY","28","28","9","0"
"2021 Spring Primary","11111","VILLAGE OF CAMBRIA - COLUMBIA COUNTY","11","11","3","0"
"2021 Spring Primary","11116","VILLAGE OF DOYLESTOWN - COLUMBIA COUNTY","3","2","1","0"
"2021 Spring Primary","11126","VILLAGE OF FALL RIVER - COLUMBIA COUNTY","54","45","13","0"
"2021 Spring Primary","11127","VILLAGE OF FRIESLAND - COLUMBIA COUNTY","6","6","2","0"
"2021 Spring Primary","11171","VILLAGE OF PARDEEVILLE - COLUMBIA COUNTY","65","60","21","0"
"2021 Spring Primary","11172","VILLAGE OF POYNETTE - COLUMBIA COUNTY","112","112","44","3"
"2021 Spring Primary","11177","VILLAGE OF RIO - COLUMBIA COUNTY","39","39","14","2"
"2021 Spring Primary","11191","VILLAGE OF WYOCENA - COLUMBIA COUNTY","31","31","17","2"
"2021 Spring Primary","11211","CITY OF COLUMBUS - MULTIPLE COUNTIES","268","268","121","20"
"2021 Spring Primary","11246","CITY OF LODI - COLUMBIA COUNTY","207","207","65","10"
"2021 Spring Primary","11271","CITY OF PORTAGE - COLUMBIA COUNTY","560","560","245","16"
"2021 Spring Primary","11291","CITY OF WISCONSIN DELLS - MULTIPLE COUNTIES","131","130","51","3"
"2021 Spring Primary","12002","TOWN OF BRIDGEPORT - CRAWFORD COUNTY","41","27","14","0"
"2021 Spring Primary","12004","TOWN OF CLAYTON - CRAWFORD COUNTY","48","0","0",""
"2021 Spring Primary","12006","TOWN OF EASTMAN - CRAWFORD COUNTY","26","21","2","0"
"2021 Spring Primary","12008","TOWN OF FREEMAN - CRAWFORD COUNTY","41","32","14","0"
